PDB,Ligand,Code,Pose Number,Resolution(A),Ligand Occupation Factor,IC50(M),log(IC50),pIC50,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
5QB4, lig_36, 965170, 5, 1.95, 1.0,2.6e-06,-5.585026652029182,5.585026652029182,2.016,  5, -0.997, -0.04747619047619048, 0.0, 25.24854909819641, 0.0, 9, 3, 5, 0, 0, 1, 0, 0, -6.455, 58.89, 972.511, 2.289, 8.635, 4.018, 0.7781512503836436
5QB4, lig_37, 965146, 5, 1.95, 1.0,5.7000000000000005e-06,-5.2441251443275085,5.2441251443275085,2.094,  6, -0.9980000000000001, -0.039920000000000004, 0.0, 25.24854909819641, 0.0, 12, 3, 5, 0, 0, 4, 0, 0, -7.306, 49.981, 1183.249, 1.546, 13.273, 4.234, 0.8450980400142568
5QB4, lig_38, 50521801, 5, 1.95, 1.0,1.8e-05,-4.7447274948966935,4.7447274948966935,2.188,  3, -1.0010000000000001, -0.043521739130434785, 0.0, 25.24854909819641, 0.0, 17, 2, 2, 0, 0, 0, 0, 0, -7.935, 64.413, 967.224, 1.432, 46.846, 2.267, 0.6020599913279624
5QB4, lig_39, 965071, 5, 1.95, 1.0,2.2000000000000003e-05,-4.657577319177793,4.657577319177793,2.42,  5, -0.9980000000000001, -0.04339130434782609, 0.0, 25.24854909819641, 0.0, 11, 3, 5, 0, 0, 1, 0, 0, -6.767, 50.429, 1070.476, 1.35, 19.764, 2.296, 0.7781512503836436
5QB4, lig_40, 965173, 5, 1.95, 1.0,8.2e-05,-4.086186147616283,4.086186147616283,4.557,  5, -2.220446049250313e-16, -8.540177112501205e-18, 0.0, 25.24854909819641, 0.0, 14, 4, 5, 0, 0, 1, 0, 0, -7.33, 69.601, 1164.345, 1.42, 12.509, 2.408, 0.7781512503836436
5QB4, lig_41, 50521813, 5, 1.95, 1.0,0.00018,-3.744727494896694,3.744727494896694,3.897,  3, -0.999, -0.05257894736842105, 0.0, 25.24854909819641, 0.0, 12, 2, 2, 0, 0, 0, 0, 0, -6.589, 52.653, 796.382, 1.326, 20.813, 2.931, 0.6020599913279624
5QB4, lig_42, 50521798, 5, 1.95, 1.0,0.00022,-3.657577319177794,3.657577319177794,1.931,  3, -0.9990000000000001, -0.05876470588235295, 0.0, 25.24854909819641, 0.0, 11, 1, 2, 0, 1, 0, 0, 0, -6.129, 38.58, 823.397, 0.876, 21.784, 2.236, 0.6020599913279624
5QB4, lig_43, 50521787, 5, 1.95, 1.0,0.00024,-3.619788758288394,3.619788758288394,4.069,  2, -1.002, -0.062625, 0.0, 25.24854909819641, 0.0, 12, 1, 2, 0, 0, 0, 0, 0, -6.358, 41.006, 746.47, 0.702, 31.085, 1.827, 0.47712125471966244
5QB4, lig_44, 50521797, 5, 1.95, 1.0,0.00025,-3.6020599913279625,3.6020599913279625,1.344,  2, -1.0010000000000001, -0.06256250000000001, 0.0, 25.24854909819641, 0.0, 12, 1, 2, 0, 0, 0, 0, 0, -6.506, 37.438, 789.186, 1.126, 29.486, 2.621, 0.47712125471966244
5QB4, lig_45, 50521809, 5, 1.95, 1.0,0.00025,-3.6020599913279625,3.6020599913279625,2.194,  1, -0.999, -0.0666, 0.0, 25.24854909819641, 0.0, 10, 1, 2, 0, 1, 0, 0, 0, -6.31, 51.381, 789.473, 0.69, 13.798, 1.051, 0.3010299956639812
5QB4, lig_46, 50521789, 5, 1.95, 1.0,0.00026000000000000003,-3.585026652029182,3.585026652029182,3.035,  1, -1.0010000000000001, -0.06673333333333334, 0.0, 25.24854909819641, 0.0, 13, 0, 2, 0, 0, 0, 0, 0, -6.796, 42.955, 797.558, 0.216, 42.453, 0.0, 0.3010299956639812
5QB4, lig_47, 50521804, 5, 1.95, 1.0,0.00048,-3.318758762624413,3.318758762624413,1.903,  4, -1.002, -0.062625, 0.0, 25.24854909819641, 0.0, 12, 1, 2, 0, 0, 0, 0, 0, -6.264, 48.582, 766.117, 1.491, 35.463, 3.111, 0.6989700043360189
5QB4, lig_48, 50521806, 5, 1.95, 1.0,0.00048,-3.318758762624413,3.318758762624413,1.568,  3, -1.0, -0.058823529411764705, 0.0, 25.24854909819641, 0.0, 15, 0, 2, 0, 0, 0, 0, 0, -6.756, 41.559, 869.198, 0.561, 43.352, 1.149, 0.6020599913279624
5QB4, lig_49, 50521810, 5, 1.95, 1.0,0.00087,-3.0604807473813813,3.0604807473813813,2.151,  3, -0.999, -0.0624375, 0.0, 25.24854909819641, 0.0, 13, 0, 3, 0, 0, 0, 0, 0, -6.693, 48.77, 729.735, 1.415, 31.657, 3.811, 0.6020599913279624
5QB4, lig_50, 50521799, 5, 1.95, 1.0,0.0022,-2.657577319177794,2.657577319177794,1.35,  1, -1.0, -0.07142857142857142, 0.0, 25.24854909819641, 0.0, 10, 1, 2, 0, 0, 0, 0, 0, -5.799, 39.276, 691.744, 0.547, 22.537, 1.07, 0.3010299956639812
5QB4, lig_51, 50521783, 5, 1.95, 1.0,0.0013900000000000002,-2.856985199745905,2.856985199745905,3.082,  1, -1.0, -0.07692307692307693, 0.0, 25.24854909819641, 0.0, 9, 1, 2, 0, 0, 0, 0, 0, -5.641, 46.629, 692.329, 0.609, 19.534, 0.575, 0.3010299956639812
5QB4, lig_52, 50521802, 5, 1.95, 1.0,0.00102,-2.9913998282380825,2.9913998282380825,1.694,  1, -1.0, -0.06666666666666667, 0.0, 25.24854909819641, 0.0, 11, 1, 2, 0, 0, 0, 0, 0, -6.56, 45.299, 771.216, 1.015, 20.707, 2.108, 0.3010299956639812
